=====================================================================================================================================================================
Beale optimizer                                       cost      time [us]       |grad|/|fval|    #fails    #iters         #fcalls         #gcalls         speed      
cgd-prp[init-quadratic][interp]                       336       125.308594      0.000000         0         49.770508       112.024414      112.024414      0.704688   
cgd-ls[init-quadratic][interp]                        336       141.039062      0.000000         0         49.744141       112.271484      112.271484      0.704653   
lbfgs[init-quadratic][cgdescent]                      343       205.286133      0.000000         0         45.479492       114.663086      114.663086      0.668649   
cgd-n[init-unit][interp]                              344       140.558594      0.000000         0         53.300781       114.974609      114.974609      0.718109   
lbfgs[init-unit][cgdescent]                           345       190.465820      0.000000         0         45.352539       115.072266      115.072266      0.668391   
cgd-n[init-quadratic][interp]                         352       144.277344      0.000000         0         52.479492       117.499023      117.499023      0.714683   
cgd-dyhs[init-unit][backtrack-Wolfe]                  405       117.041016      0.000000         0         91.590820       135.059570      135.059570      0.820600   
cgd-dyhs[init-unit][backtrack-Armijo]                 458       99.853516       0.000000         0         88.751953       152.827148      152.827148      0.811290   
cgd-dyhs[init-quadratic][backtrack-Wolfe]             502       121.485352      0.000000         0         87.791016       167.417969      167.417969      0.814489   
cgd-dyhs[init-quadratic][backtrack-Armijo]            546       146.925781      0.000000         0         135.375000      182.146484      182.146484      0.867805   
cgd-dy[init-unit][cgdescent]                          546       218.042969      0.000000         0         42.952148       182.317383      182.317383      0.619913   
cgd-dy[init-quadratic][cgdescent]                     556       217.812500      0.000000         0         43.295898       185.619141      185.619141      0.627390   
lbfgs[init-consistent][cgdescent]                     562       266.295898      0.000000         0         45.948242       187.638672      187.638672      0.671988   
cgd-hs[init-quadratic][backtrack-Wolfe]               578       123.260742      0.000000         0         94.300781       192.743164      192.743164      0.827047   
cgd-dyhs[init-unit][cgdescent]                        590       230.948242      0.000000         0         46.748047       196.778320      196.778320      0.642825   
cgd-fr[init-unit][cgdescent]                          592       241.366211      0.000000         0         46.839844       197.573242      197.573242      0.647119   
cgd-fr[init-quadratic][cgdescent]                     611       243.385742      0.000000         0         47.889648       203.767578      203.767578      0.654423   
cgd-dyhs[init-quadratic][cgdescent]                   616       247.605469      0.000000         0         48.200195       205.463867      205.463867      0.655000   
cgd-n[init-unit][cgdescent]                           628       248.397461      0.000000         0         50.246094       209.346680      209.346680      0.651552   
cgd-ls[init-unit][cgdescent]                          631       251.248047      0.000000         0         50.514648       210.508789      210.508789      0.655986   
cgd-dy[init-consistent][cgdescent]                    633       238.653320      0.000000         0         41.319336       211.249023      211.249023      0.594274   
cgd-prp[init-unit][cgdescent]                         641       260.171875      0.000000         0         51.172852       213.706055      213.706055      0.662004   
cgd-dycd[init-unit][cgdescent]                        641       254.606445      0.000000         0         51.205078       213.848633      213.848633      0.657232   
cgd-cd[init-unit][cgdescent]                          644       250.994141      0.000000         0         51.471680       214.982422      214.982422      0.660304   
cgd-n[init-quadratic][cgdescent]                      656       261.403320      0.000000         0         51.806641       218.892578      218.892578      0.669308   
cgd-ls[init-quadratic][cgdescent]                     658       254.809570      0.000000         0         52.139648       219.498047      219.498047      0.673683   
cgd-prp[init-quadratic][cgdescent]                    659       271.335938      0.000000         0         52.297852       219.995117      219.995117      0.677639   
cgd-dycd[init-quadratic][cgdescent]                   662       253.243164      0.000000         0         52.455078       220.756836      220.756836      0.667637   
cgd-cd[init-quadratic][cgdescent]                     668       258.618164      0.000000         0         52.772461       222.768555      222.768555      0.672103   
cgd-dycd[init-quadratic][backtrack-Armijo]            669       178.348633      0.000000         0         167.740234      223.225586      223.225586      0.895189   
cgd-hs[init-consistent][cgdescent]                    677       256.426758      0.000000         0         44.676758       225.789062      225.789062      0.614771   
cgd-dyhs[init-consistent][cgdescent]                  680       251.095703      0.000000         0         44.848633       226.679688      226.679688      0.611431   
cgd-fr[init-consistent][cgdescent]                    684       251.535156      0.000000         0         45.166016       228.031250      228.031250      0.622255   
cgd-dy[init-quadratic][backtrack-Armijo]              692       185.646484      0.000000         0         179.799805      230.770508      230.770508      0.905340   
cgd-dycd[init-consistent][cgdescent]                  708       268.365234      0.000000         0         47.242188       236.247070      236.247070      0.629549   
cgd-cd[init-consistent][cgdescent]                    709       265.116211      0.000000         0         47.335938       236.530273      236.530273      0.630541   
cgd-prp[init-consistent][cgdescent]                   713       261.198242      0.000000         0         47.361328       237.720703      237.720703      0.627008   
cgd-n[init-consistent][cgdescent]                     723       280.708008      0.000000         0         47.914062       241.250000      241.250000      0.630532   
cgd-ls[init-consistent][cgdescent]                    723       273.030273      0.000000         0         48.198242       241.237305      241.237305      0.634826   
cgd-n[init-quadratic][backtrack-Armijo]               810       220.682617      0.000000         0         199.375000      270.266602      270.266602      0.912067   
cgd-n[init-quadratic][backtrack-Wolfe]                905       189.484375      0.000000         0         131.409180      301.952148      301.952148      0.871102   
cgd-dycd[init-quadratic][backtrack-Wolfe]             980       226.239258      0.000000         0         180.802734      326.744141      326.744141      0.902904   
cgd-dy[init-consistent][interp]                       1585      449.557617      0.000000         0         41.526367       528.461914      528.461914      0.638545   
cgd-dyhs[init-consistent][interp]                     1631      454.977539      0.000000         0         43.100586       543.753906      543.753906      0.645891   
cgd-dy[init-quadratic][backtrack-Wolfe]               1660      379.821289      0.000000         0         344.610352      553.480469      553.480469      0.938752   
cgd-dycd[init-consistent][interp]                     1680      472.045898      0.000000         0         44.001953       560.053711      560.053711      0.652134   
lbfgs[init-consistent][interp]                        1705      502.429688      0.000000         0         52.680664       568.476562      568.476562      0.704310   
cgd-hs[init-consistent][interp]                       1707      476.497070      0.000000         0         44.908203       569.244141      569.244141      0.659080   
cgd-dy[init-quadratic][backtrack-strong-Wolfe]        1709      208.725586      0.000000         0         57.800781       569.758789      569.758789      0.729520   
cgd-dy[init-unit][backtrack-strong-Wolfe]             1710      218.437500      0.000000         0         57.989258       570.247070      570.247070      0.730248   
cgd-fr[init-consistent][interp]                       1729      489.933594      0.000000         0         45.030273       576.336914      576.336914      0.659433   
cgd-cd[init-consistent][interp]                       1780      493.534180      0.000000         0         46.609375       593.411133      593.411133      0.667080   
cgd-prp[init-consistent][interp]                      1832      510.271484      0.000000         0         48.374023       610.855469      610.855469      0.675217   
cgd-dyhs[init-quadratic][backtrack-strong-Wolfe]      1835      236.101562      0.000000         0         61.533203       611.708008      611.708008      0.743335   
cgd-dyhs[init-unit][backtrack-strong-Wolfe]           1841      238.229492      0.000000         0         61.686523       613.949219      613.949219      0.743561   
cgd-ls[init-consistent][interp]                       1858      515.559570      0.000000         0         48.625000       619.460938      619.460938      0.678283   
cgd-hs[init-quadratic][backtrack-strong-Wolfe]        1874      236.253906      0.000000         0         62.500977       624.793945      624.793945      0.746040   
cgd-hs[init-unit][backtrack-strong-Wolfe]             1875      232.737305      0.000000         0         62.660156       625.103516      625.103516      0.746763   
cgd-fr[init-quadratic][backtrack-strong-Wolfe]        1891      231.549805      0.000000         0         64.000977       630.493164      630.493164      0.752016   
cgd-fr[init-unit][backtrack-strong-Wolfe]             1893      223.284180      0.000000         0         64.021484       631.131836      631.131836      0.752721   
cgd-n[init-consistent][interp]                        1931      541.952148      0.000000         0         50.490234       643.726562      643.726562      0.685665   
cgd-ls[init-quadratic][backtrack-strong-Wolfe]        1962      243.627930      0.000000         0         65.165039       654.059570      654.059570      0.755149   
cgd-ls[init-unit][backtrack-strong-Wolfe]             1973      247.552734      0.000000         0         65.387695       657.846680      657.846680      0.755706   
cgd-prp[init-quadratic][backtrack-strong-Wolfe]       2022      254.449219      0.000000         0         67.037109       674.206055      674.206055      0.761081   
cgd-prp[init-unit][backtrack-strong-Wolfe]            2028      250.010742      0.000000         0         67.143555       676.304688      676.304688      0.760976   
gd[init-quadratic][backtrack-Wolfe]                   2208      421.984375      0.000000         0         417.156250      736.033203      736.033203      0.957413   
cgd-n[init-unit][backtrack-strong-Wolfe]              2217      285.013672      0.000000         0         77.895508       739.331055      739.331055      0.791970   
cgd-dycd[init-unit][backtrack-Armijo]                 2254      386.119141      0.000000         0         274.977539      751.349609      751.349609      0.922921   
gd[init-quadratic][backtrack-Armijo]                  2272      576.486328      0.000000         0         724.272461      757.422852      757.422852      0.975577   
cgd-n[init-quadratic][backtrack-strong-Wolfe]         2283      284.008789      0.000000         0         78.764648       761.201172      761.201172      0.794093   
lbfgs[init-consistent][backtrack-strong-Wolfe]        2300      335.489258      0.000000         0         63.127930       766.872070      766.872070      0.742707   
gd[init-quadratic][interp]                            2335      755.477539      0.000000         0         646.029297      778.617188      778.617188      0.975316   
lbfgs[init-consistent][backtrack-Wolfe]               2434      364.416016      0.000000         0         65.193359       811.470703      811.470703      0.752715   
cgd-cd[init-unit][backtrack-strong-Wolfe]             2505      307.173828      0.000000         0         81.000977       835.049805      835.049805      0.798912   
cgd-cd[init-quadratic][backtrack-strong-Wolfe]        2553      307.228516      0.000000         0         81.219727       851.005859      851.005859      0.799528   
cgd-n[init-unit][backtrack-Armijo]                    2596      464.895508      0.000000         0         315.300781      865.444336      865.444336      0.937199   
cgd-dycd[init-unit][backtrack-strong-Wolfe]           2638      318.454102      0.000000         0         84.384766       879.442383      879.442383      0.806300   
cgd-dycd[init-quadratic][backtrack-strong-Wolfe]      2704      324.161133      0.000000         0         84.796875       901.443359      901.443359      0.807269   
cgd-n[init-unit][backtrack-Wolfe]                     2830      496.627930      0.000000         0         329.995117      943.451172      943.451172      0.938989   
gd[init-unit][interp]                                 3453      1124.012695     0.000000         0         545.496094      1151.245117     1151.245117     0.968369   
cgd-dy[init-unit][backtrack-Armijo]                   3680      594.611328      0.000000         0         401.360352      1226.774414     1226.774414     0.951228   
cgd-dycd[init-unit][backtrack-Wolfe]                  3839      648.779297      0.000000         0         434.331055      1279.809570     1279.809570     0.955539   
cgd-dy[init-unit][backtrack-Wolfe]                    3883      636.467773      0.000000         0         438.370117      1294.494141     1294.494141     0.956102   
cgd-ls[init-unit][backtrack-Armijo]                   3965      796.647461      0.000000         0         652.981445      1321.940430     1321.940430     0.968599   
cgd-dyhs[init-consistent][backtrack-Wolfe]            4058      445.887695      0.000000         0         90.466797       1352.942383     1352.942383     0.819822   
cgd-dy[init-consistent][backtrack-strong-Wolfe]       4209      464.706055      0.000000         0         58.383789       1403.179688     1403.179688     0.732357   
cgd-hs[init-consistent][backtrack-Wolfe]              4313      479.317383      0.000000         0         96.406250       1437.726562     1437.726562     0.830765   
gd[init-quadratic][backtrack-strong-Wolfe]            4320      499.619141      0.000000         0         157.975586      1440.141602     1440.141602     0.887579   
cgd-dyhs[init-consistent][backtrack-strong-Wolfe]     4406      477.785156      0.000000         0         61.801758       1468.819336     1468.819336     0.744279   
cgd-hs[init-consistent][backtrack-strong-Wolfe]       4452      476.128906      0.000000         0         62.569336       1484.278320     1484.278320     0.746586   
cgd-ls[init-consistent][backtrack-strong-Wolfe]       4674      501.486328      0.000000         0         65.409180       1558.104492     1558.104492     0.755951   
cgd-fr[init-consistent][backtrack-strong-Wolfe]       4717      509.746094      0.000000         0         65.169922       1572.375977     1572.375977     0.756064   
cgd-prp[init-consistent][backtrack-strong-Wolfe]      4779      498.280273      0.000000         0         66.509766       1593.289062     1593.289062     0.759696   
gd[init-consistent][cgdescent]                        4958      1788.323242     0.000000         0         338.907227      1652.781250     1652.781250     0.942012   
gd[init-unit][backtrack-Wolfe]                        5055      923.552734      0.000000         0         831.863281      1685.068359     1685.068359     0.977837   
gd[init-unit][backtrack-Armijo]                       5104      830.191406      0.000000         0         841.130859      1701.662109     1701.662109     0.978636   
gd[init-unit][backtrack-strong-Wolfe]                 5151      903.911133      0.000000         0         764.544922      1717.080078     1717.080078     0.976720   
gd[init-unit][cgdescent]                              5202      2032.977539     0.000000         0         401.803711      1734.206055     1734.206055     0.950450   
gd[init-quadratic][cgdescent]                         5227      2015.310547     0.000000         0         409.494141      1742.510742     1742.510742     0.948851   
cgd-n[init-consistent][backtrack-strong-Wolfe]        5742      620.353516      0.000000         0         79.506836       1914.243164     1914.243164     0.796322   
cgd-cd[init-consistent][backtrack-strong-Wolfe]       5950      635.486328      0.000000         0         83.135742       1983.577148     1983.577148     0.803289   
cgd-dycd[init-consistent][backtrack-strong-Wolfe]     6186      668.773438      0.000000         0         86.622070       2062.247070     2062.247070     0.810555   
cgd-n[init-consistent][backtrack-Wolfe]               6629      731.306641      0.000000         0         147.821289      2209.743164     2209.743164     0.883458   
gd[init-consistent][backtrack-strong-Wolfe]           13273     1328.093750     0.000000         0         191.737305      4424.654297     4424.654297     0.905107   
lbfgs[init-consistent][backtrack-Armijo]              13680     9583.573242     0.000000         0         4078.098633     4560.177734     4560.177734     0.995302   
cgd-ls[init-consistent][backtrack-Armijo]             14959     3942.733398     0.000000         0         4100.014648     4986.396484     4986.396484     0.995431   
cgd-dyhs[init-consistent][backtrack-Armijo]           14975     4083.942383     0.000000         0         4099.710938     4991.811523     4991.811523     0.995415   
cgd-n[init-consistent][backtrack-Armijo]              15694     4266.843750     0.000000         0         4104.592773     5231.595703     5231.595703     0.995393   
cgd-dycd[init-consistent][backtrack-Wolfe]            16458     1713.564453     0.000000         0         313.574219      5486.166016     5486.166016     0.938782   
cgd-dy[init-consistent][backtrack-Wolfe]              20409     2140.832031     0.000000         0         392.834961      6803.077148     6803.077148     0.950975   
cgd-dycd[init-consistent][backtrack-Armijo]           23615     4896.348633     0.000000         0         4204.136719     7871.888672     7871.888672     0.995697   
cgd-dy[init-consistent][backtrack-Armijo]             23941     4905.937500     0.000000         0         4242.881836     7980.635742     7980.635742     0.995907   
gd[init-consistent][interp]                           27342     6948.120117     0.000000         0         670.057617      9114.103516     9114.103516     0.971603   
gd[init-consistent][backtrack-Wolfe]                  28939     2880.976562     0.000000         0         596.226562      9646.381836     9646.381836     0.970252   
gd[init-consistent][backtrack-Armijo]                 40389     5934.242188     0.000000         0         4574.231445     13463.163086    13463.163086    0.995973   
cgd-ls[init-unit][backtrack-Wolfe]                    4008      811.894531      0.000000         1         655.416992      1336.156250     1336.156250     0.968736   
cgd-prp[init-unit][backtrack-Armijo]                  4213      851.221680      0.000000         1         693.867188      1404.448242     1404.448242     0.971367   
cgd-prp[init-consistent][backtrack-Armijo]            15430     4081.002930     0.000000         1         4109.637695     5143.441406     5143.441406     0.995450   
cgd-hs[init-quadratic][cgdescent]                     617       248.616211      0.000000         2         48.440430       205.791016      205.791016      0.656894   
cgd-prp[init-unit][backtrack-Wolfe]                   4210      852.088867      0.000000         2         689.797852      1403.388672     1403.388672     0.971061   
cgd-hs[init-unit][cgdescent]                          600       241.243164      0.000000         3         47.481445       200.178711      200.178711      0.646543   
cgd-hs[init-unit][backtrack-Armijo]                   862       175.730469      0.000000         3         173.340820      287.608398      287.608398      0.850973   
cgd-hs[init-consistent][backtrack-Armijo]             15112     4006.474609     0.000000         5         4106.112305     5037.382812     5037.382812     0.995497   
cgd-ls[init-quadratic][backtrack-Armijo]              524       135.228516      0.000000         8         126.739258      174.752930      174.752930      0.862537   
cgd-hs[init-unit][backtrack-Wolfe]                    951       219.087891      0.000000         11        197.415039      317.304688      317.304688      0.868373   
cgd-prp[init-quadratic][backtrack-Armijo]             785       196.163086      0.000000         14        203.181641      261.808594      261.808594      0.911897   
cgd-fr[init-unit][backtrack-Armijo]                   12106     1718.995117     0.000000         15        941.998047      4035.468750     4035.468750     0.974150   
cgd-prp[init-consistent][backtrack-Wolfe]             4886      524.031250      0.000000         21        111.706055      1628.804688     1628.804688     0.853844   
cgd-ls[init-consistent][backtrack-Wolfe]              4970      551.644531      0.000000         27        113.309570      1656.774414     1656.774414     0.857872   
cgd-prp[init-quadratic][backtrack-Wolfe]              931       178.425781      0.000000         30        107.321289      310.401367      310.401367      0.850586   
cgd-fr[init-quadratic][backtrack-Armijo]              1288      321.524414      0.000000         32        293.223633      429.599609      429.599609      0.941156   
cgd-ls[init-quadratic][backtrack-Wolfe]               942       176.227539      0.000000         35        108.247070      314.178711      314.178711      0.853266   
cgd-fr[init-unit][backtrack-Wolfe]                    7935      1164.285156     0.000000         60        667.366211      2645.307617     2645.307617     0.973373   
cgd-fr[init-consistent][backtrack-Armijo]             223593    23717.067383    0.000014         70        8169.045898     74531.162109    74531.162109    0.996155   
cgd-fr[init-quadratic][backtrack-Wolfe]               4266      827.565430      0.000000         91        637.899414      1422.180664     1422.180664     0.970910   
cgd-fr[init-consistent][backtrack-Wolfe]              36229     3859.628906     0.000000         137       731.176758      12076.417969    12076.417969    0.975426   
cgd-hs[init-quadratic][backtrack-Armijo]              51248     14767.623047    0.001164         682       17039.843750    17082.876953    17082.876953    0.948431   
cgd-cd[init-consistent][backtrack-Armijo]             15129     3942.117188     0.000013         930       4093.231445     5043.061523     5043.061523     0.997233   
cgd-cd[init-quadratic][backtrack-Armijo]              563       129.196289      0.001538         1002      114.703125      187.989258      187.989258      0.928981   
cgd-cd[init-unit][backtrack-Armijo]                   3772      400.510742      0.259000         1022      56.566406       1257.406250     1257.406250     0.965792   
cgd-cd[init-quadratic][backtrack-Wolfe]               288       65.681641       0.440394         1024      33.099609       96.016602       96.016602       0.974676   
cgd-cd[init-consistent][backtrack-Wolfe]              2152      238.466797      0.239260         1024      48.601562       717.334961      717.334961      0.963262   
cgd-cd[init-unit][backtrack-Wolfe]                    2590      279.688477      0.286427         1024      38.940430       863.629883      863.629883      0.967009   
======================================================================================================================================================================
======================================================================================================================================================================
Trid32D optimizer                                     cost      time [us]       |grad|/|fval|    #fails    #iters          #fcalls         #gcalls         speed      
......................................................................................................................................................................
lbfgs[init-unit][interp]                              303       335.605469      0.000000         0         90.084961       101.283203      101.283203      0.817584   
lbfgs[init-quadratic][interp]                         318       352.560547      0.000000         0         96.368164       106.163086      106.163086      0.828832   
lbfgs[init-unit][backtrack-Wolfe]                     328       312.678711      0.000000         0         94.123047       109.594727      109.594727      0.822900   
lbfgs[init-unit][backtrack-strong-Wolfe]              331       310.605469      0.000000         0         94.179688       110.546875      110.546875      0.822904   
lbfgs[init-quadratic][backtrack-strong-Wolfe]         343       326.132812      0.000000         0         99.491211       114.586914      114.586914      0.831682   
lbfgs[init-quadratic][backtrack-Wolfe]                348       328.564453      0.000000         0         100.356445      116.154297      116.154297      0.833382   
cgd-dy[init-unit][interp]                             449       213.303711      0.000000         0         71.950195       149.828125      149.828125      0.791474   
cgd-dy[init-quadratic][interp]                        465       216.893555      0.000000         0         71.366211       155.042969      155.042969      0.789983   
cgd-hs[init-unit][interp]                             493       228.747070      0.000000         0         80.418945       164.657227      164.657227      0.811932   
cgd-fr[init-unit][interp]                             495       231.746094      0.000000         0         80.555664       165.061523      165.061523      0.810921   
cgd-dyhs[init-unit][interp]                           496       210.149414      0.000000         0         79.845703       165.605469      165.605469      0.809882   
cgd-fr[init-quadratic][interp]                        512       235.689453      0.000000         0         79.627930       170.891602      170.891602      0.809568   
cgd-dyhs[init-quadratic][interp]                      521       239.529297      0.000000         0         80.403320       173.762695      173.762695      0.810991   
cgd-hs[init-quadratic][interp]                        524       233.958008      0.000000         0         81.883789       174.713867      174.713867      0.814587   
lbfgs[init-quadratic][backtrack-Armijo]               530       352.572266      0.000000         0         104.890625      176.991211      176.991211      0.838809   
cgd-dycd[init-unit][interp]                           539       247.810547      0.000000         0         87.637695       179.753906      179.753906      0.825659   
cgd-ls[init-unit][interp]                             551       253.768555      0.000000         0         91.477539       183.698242      183.698242      0.832271   
cgd-dycd[init-quadratic][interp]                      557       246.183594      0.000000         0         86.793945       185.704102      185.704102      0.823830   
cgd-prp[init-unit][interp]                            574       254.819336      0.000000         0         96.267578       191.653320      191.653320      0.840609   
lbfgs[init-unit][backtrack-Armijo]                    579       340.358398      0.000000         0         99.999023       193.166992      193.166992      0.829756   
cgd-ls[init-quadratic][interp]                        583       275.250977      0.000000         0         92.485352       194.405273      194.405273      0.833907   
cgd-dyhs[init-unit][backtrack-Wolfe]                  587       215.525391      0.000000         0         147.800781      195.823242      195.823242      0.886429   
cgd-cd[init-unit][interp]                             604       275.345703      0.000000         0         98.638672       201.550781      201.550781      0.838870   
cgd-prp[init-quadratic][interp]                       605       267.967773      0.000000         0         96.955078       201.808594      201.808594      0.841254   
cgd-cd[init-quadratic][interp]                        614       268.298828      0.000000         0         94.973633       204.720703      204.720703      0.834370   
cgd-n[init-unit][interp]                              631       301.218750      0.000000         0         106.629883      210.527344      210.527344      0.854399   
cgd-n[init-quadratic][interp]                         645       300.134766      0.000000         0         102.694336      215.307617      215.307617      0.849518   
lbfgs[init-quadratic][cgdescent]                      656       488.958984      0.000000         0         93.149414       218.686523      218.686523      0.823825   
lbfgs[init-unit][cgdescent]                           660       491.384766      0.000000         0         92.430664       220.078125      220.078125      0.822584   
cgd-dyhs[init-quadratic][backtrack-Wolfe]             836       248.793945      0.000000         0         148.708984      278.946289      278.946289      0.887408   
cgd-dyhs[init-unit][backtrack-Armijo]                 844       232.083008      0.000000         0         146.982422      281.652344      281.652344      0.882141   
cgd-dy[init-unit][cgdescent]                          939       421.313477      0.000000         0         78.181641       313.229492      313.229492      0.793293   
cgd-hs[init-quadratic][backtrack-Wolfe]               947       291.519531      0.000000         0         161.321289      315.907227      315.907227      0.896223   
cgd-dy[init-quadratic][cgdescent]                     950       431.918945      0.000000         0         77.368164       316.874023      316.874023      0.791152   
cgd-dyhs[init-quadratic][backtrack-Armijo]            980       323.996094      0.000000         0         244.380859      326.886719      326.886719      0.925738   
cgd-fr[init-unit][cgdescent]                          1024      465.765625      0.000000         0         85.744141       341.540039      341.540039      0.809595   
cgd-hs[init-unit][backtrack-Armijo]                   1033      285.855469      0.000000         0         213.433594      344.540039      344.540039      0.901299   
cgd-fr[init-quadratic][cgdescent]                     1046      468.589844      0.000000         0         85.763672       348.817383      348.817383      0.809133   
cgd-hs[init-unit][cgdescent]                          1057      481.844727      0.000000         0         88.774414       352.530273      352.530273      0.814792   
cgd-dyhs[init-unit][cgdescent]                        1075      496.963867      0.000000         0         90.122070       358.564453      358.564453      0.817342   
lbfgs[init-consistent][cgdescent]                     1083      659.107422      0.000000         0         89.706055       361.129883      361.129883      0.817680   
cgd-hs[init-quadratic][cgdescent]                     1085      490.152344      0.000000         0         89.001953       361.729492      361.729492      0.814502   
cgd-dyhs[init-quadratic][cgdescent]                   1099      505.102539      0.000000         0         90.022461       366.632812      366.632812      0.816581   
cgd-dy[init-consistent][cgdescent]                    1126      477.334961      0.000000         0         73.372070       375.428711      375.428711      0.774851   
cgd-ls[init-unit][cgdescent]                          1152      524.360352      0.000000         0         97.481445       384.250000      384.250000      0.828383   
cgd-ls[init-quadratic][cgdescent]                     1182      554.961914      0.000000         0         97.673828       394.252930      394.252930      0.829888   
cgd-prp[init-unit][cgdescent]                         1200      544.658203      0.000000         0         102.079102      400.315430      400.315430      0.835520   
cgd-n[init-unit][cgdescent]                           1216      568.382812      0.000000         0         103.335938      405.385742      405.385742      0.836286   
cgd-n[init-quadratic][cgdescent]                      1221      562.552734      0.000000         0         101.018555      407.190430      407.190430      0.832410   
cgd-fr[init-consistent][cgdescent]                    1224      527.637695      0.000000         0         81.526367       408.266602      408.266602      0.794618   
cgd-dy[init-quadratic][backtrack-Armijo]              1228      401.460938      0.000000         0         312.983398      409.381836      409.381836      0.946001   
cgd-prp[init-quadratic][cgdescent]                    1237      553.818359      0.000000         0         102.669922      412.598633      412.598633      0.835689   
cgd-hs[init-consistent][cgdescent]                    1259      542.576172      0.000000         0         83.893555       419.708008      419.708008      0.798078   
cgd-dycd[init-quadratic][backtrack-Wolfe]             1278      379.111328      0.000000         0         250.929688      426.163086      426.163086      0.932022   
cgd-dyhs[init-consistent][cgdescent]                  1288      560.567383      0.000000         0         85.997070       429.576172      429.576172      0.804109   
cgd-cd[init-quadratic][cgdescent]                     1299      586.054688      0.000000         0         108.745117      433.309570      433.309570      0.843914   
cgd-dycd[init-quadratic][cgdescent]                   1300      587.176758      0.000000         0         108.760742      433.500977      433.500977      0.843331   
cgd-cd[init-unit][cgdescent]                          1307      592.484375      0.000000         0         112.810547      435.966797      435.966797      0.850251   
cgd-dycd[init-unit][cgdescent]                        1311      596.553711      0.000000         0         113.226562      437.163086      437.163086      0.850875   
cgd-ls[init-consistent][cgdescent]                    1358      583.416016      0.000000         0         91.285156       452.992188      452.992188      0.811112   
cgd-prp[init-consistent][cgdescent]                   1371      615.814453      0.000000         0         92.131836       457.100586      457.100586      0.810228   
cgd-n[init-consistent][cgdescent]                     1422      628.433594      0.000000         0         95.938477       474.155273      474.155273      0.819910   
cgd-cd[init-consistent][cgdescent]                    1422      601.940430      0.000000         0         96.562500       474.125000      474.125000      0.820470   
cgd-dycd[init-consistent][cgdescent]                  1424      614.972656      0.000000         0         96.497070       474.925781      474.925781      0.822000   
cgd-n[init-quadratic][backtrack-Armijo]               1550      530.796875      0.000000         0         386.064453      516.774414      516.774414      0.954219   
cgd-dycd[init-quadratic][backtrack-Armijo]            1669      588.033203      0.000000         0         476.377930      556.379883      556.379883      0.962359   
cgd-n[init-quadratic][backtrack-Wolfe]                1710      448.564453      0.000000         0         244.471680      570.025391      570.025391      0.929262   
cgd-dy[init-consistent][interp]                       2215      734.528320      0.000000         0         68.899414       738.505859      738.505859      0.767100   
cgd-fr[init-consistent][interp]                       2400      746.773438      0.000000         0         74.592773       800.302734      800.302734      0.782034   
cgd-hs[init-consistent][interp]                       2420      774.915039      0.000000         0         75.159180       806.704102      806.704102      0.783302   
cgd-dyhs[init-consistent][interp]                     2429      761.068359      0.000000         0         75.294922       809.971680      809.971680      0.782156   
cgd-dycd[init-consistent][interp]                     2434      776.090820      0.000000         0         75.484375       811.601562      811.601562      0.783386   
cgd-cd[init-consistent][interp]                       2609      821.219727      0.000000         0         80.797852       869.692383      869.692383      0.794839   
cgd-ls[init-consistent][interp]                       2647      834.263672      0.000000         0         82.210938       882.523438      882.523438      0.798779   
cgd-prp[init-consistent][interp]                      2712      859.075195      0.000000         0         84.034180       904.291016      904.291016      0.800971   
cgd-dy[init-quadratic][backtrack-Wolfe]               2788      873.219727      0.000000         0         661.767578      929.410156      929.410156      0.969240   
lbfgs[init-consistent][interp]                        2818      997.562500      0.000000         0         93.009766       939.532227      939.532227      0.822129   
cgd-dy[init-quadratic][backtrack-strong-Wolfe]        2837      461.385742      0.000000         0         96.160156       945.849609      945.849609      0.830145   
cgd-n[init-consistent][interp]                        2851      905.763672      0.000000         0         88.352539       950.404297      950.404297      0.808750   
cgd-dy[init-unit][backtrack-strong-Wolfe]             2859      460.939453      0.000000         0         95.809570       953.243164      953.243164      0.829426   
cgd-fr[init-unit][backtrack-strong-Wolfe]             3196      502.001953      0.000000         0         108.543945      1065.455078     1065.455078     0.848020   
cgd-fr[init-quadratic][backtrack-strong-Wolfe]        3217      521.109375      0.000000         0         109.486328      1072.362305     1072.362305     0.849551   
cgd-hs[init-unit][backtrack-strong-Wolfe]             3218      519.354492      0.000000         0         110.979492      1072.849609     1072.849609     0.850312   
cgd-dyhs[init-unit][backtrack-strong-Wolfe]           3221      518.339844      0.000000         0         109.621094      1073.720703     1073.720703     0.849299   
cgd-dyhs[init-quadratic][backtrack-strong-Wolfe]      3283      534.682617      0.000000         0         109.894531      1094.509766     1094.509766     0.849492   
cgd-hs[init-quadratic][backtrack-strong-Wolfe]        3308      494.057617      0.000000         0         112.008789      1102.784180     1102.784180     0.851815   
cgd-dycd[init-unit][backtrack-Armijo]                 3591      769.777344      0.000000         0         417.848633      1197.113281     1197.113281     0.949089   
cgd-ls[init-unit][backtrack-strong-Wolfe]             3640      582.429688      0.000000         0         124.421875      1213.470703     1213.470703     0.865448   
lbfgs[init-consistent][backtrack-strong-Wolfe]        3669      761.436523      0.000000         0         102.080078      1223.224609     1223.224609     0.835487   
cgd-ls[init-quadratic][backtrack-strong-Wolfe]        3696      614.553711      0.000000         0         124.860352      1232.033203     1232.033203     0.866029   
